model,seed,corruption,accuracy,NLL,ECE,Brier,predictive_entropy,initial_predictive_entropy,prediction_change_rate,mean_gate,mean_relative_effective_update
C,3,elastic_transform,0.8502000000000001,0.5949856826591492,0.08949274960875511,0.23990611261367797,0.18501403471845376,0.1862444084531939,0.012840000000000008,,0.07354392150624467
C,3,pixelate,0.76128,1.1443774644947051,0.16292359034746887,0.39105936017513276,0.22705690820809687,0.228398419667001,0.015559999999999996,,0.0722502461798421
C,3,jpeg_compression,0.7976599999999999,0.8308997219848633,0.12454526655554772,0.32416398768424987,0.23489983816724447,0.23481319056525127,0.01584000000000001,,0.07410478239152399
C,3,speckle_noise,0.65346,1.6561190583133698,0.23848076706677673,0.5632595555973052,0.31535155809876975,0.3181508978535142,0.02098,,0.07374680391884555
C,3,gaussian_blur,0.7426200000000001,1.1162402896022796,0.1722394475993514,0.41667736516714093,0.25982771563029555,0.2551917681384098,0.016980000000000016,,0.07623050444110482
C,3,spatter,0.8487399999999999,0.6543326986598968,0.09577365780472756,0.24843960243225097,0.170738913914492,0.1701891746351245,0.0123,,0.07190479411855699
C,3,saturate,0.92048,0.3224654538297653,0.046754517052173615,0.12896215789794924,0.10288875295311271,0.10368255043416226,0.00656000000000001,,0.0703606105455958
C,5,gaussian_noise,0.4484,3.0240101771736145,0.4261484259223938,0.9363226840782166,0.3613744587316207,0.3633099590860575,0.026800000000000025,,0.07512065564921677
C,5,shot_noise,0.58136,2.134066293081045,0.30613119107544423,0.6969354047995806,0.3277883926103596,0.32896977895025425,0.02218,,0.07442269234383575
C,5,impulse_noise,0.50238,2.5816140977954865,0.3593166018119454,0.8236948779630662,0.4099434561223543,0.39556417202718264,0.029199999999999983,,0.0747506166837237
C,5,defocus_blur,0.8229,0.7259648500442505,0.11151034865915775,0.28290099565505983,0.2000206832831225,0.1992717520578034,0.012040000000000028,,0.07422847429532378
C,5,glass_blur,0.5593,1.995832356376648,0.2938174151223898,0.7066493276500702,0.438997322852466,0.43721959761169277,0.028739999999999988,,0.07844258157525821
C,5,motion_blur,0.76782,0.9919556163692475,0.15242436049491168,0.3754471596956253,0.24077529373152065,0.24035019100617996,0.014680000000000026,,0.07541388412533942
C,5,zoom_blur,0.77512,0.907226893787384,0.13725781728059053,0.35623759934425353,0.26485518203731395,0.2647881036427728,0.01684000000000001,,0.07629115228857741
C,5,snow,0.83124,0.7139278568172455,0.10556788217902184,0.2739607928752899,0.19357716299706634,0.19431775391607545,0.012440000000000007,,0.07329541179748131
C,5,frost,0.79084,0.8945166610240937,0.13195066475450992,0.3343280224561691,0.232494933398001,0.23386348246302047,0.014099999999999979,,0.0738571889445466
C,5,fog,0.872,0.5388173681545257,0.08297131593823433,0.20892025863170624,0.13904038999540091,0.13898807676511002,0.008499999999999997,,0.0721860905314118
C,5,brightness,0.93598,0.2532516553354263,0.03807363055378199,0.10334402126312256,0.08271053142272111,0.08314644197845278,0.0049799999999999844,,0.07016981447821728
C,5,contrast,0.74808,1.0919592063856125,0.16143330003738404,0.3965862156152725,0.2722556817276252,0.26750448987672104,0.01751999999999998,,0.0756797818002897
C,5,elastic_transform,0.8394,0.6524397772979736,0.0986064520868659,0.25823411736488344,0.18964895774708654,0.19069465143894368,0.012259999999999983,,0.07367810589554541
C,5,pixelate,0.76832,1.0601154446220398,0.1556744749739766,0.3765135978126526,0.2284453758168529,0.22805147543539117,0.015559999999999996,,0.07286308674562292
C,5,jpeg_compression,0.78858,0.8669271297836304,0.13150531517833472,0.33813547338485717,0.24128965453996615,0.241441206228722,0.015600000000000013,,0.07475775787772088
C,5,speckle_noise,0.62344,1.8752900108873845,0.2680442894116044,0.6212493931171298,0.31942219978803593,0.31949101026880206,0.02026000000000001,,0.07408627668152025
